,회사명,종목코드
742,신대양제지,16590
743,신흥,4080
744,쎌마테라퓨틱스,15540
745,에스케이바이오팜,326030
746,에이프로젠제약,3060
747,영풍제지,6740
748,우리들제약,4720
749,우리종금,10050
750,우진아이엔에스,10400
751,웅진씽크빅,95720
752,유수홀딩스,700
753,유엔젤,72130
754,율촌화학,8730
755,이노션,214320
756,이화산업,760
757,인팩,23810
758,일신방직,3200
759,일진디스플,20760
760,제주은행,6220
761,제주항공,89590
762,종근당,185750
763,진양홀딩스,100250
764,천일고속,650
765,체시스,33250
766,카프로,6380
767,컨버즈,109070
768,케이티앤지,33780
769,코스맥스,192820
770,태영건설,9410
771,폴루스바이오팜,7630
772,풍산,103140
773,하나금융지주,86790
774,한국가스공사,36460
775,한국전력공사,15760
776,한국항공우주,47810
777,한성기업,3680
778,한세예스24홀딩스,16450
779,한일홀딩스,3300
780,한전산업,130660
781,한창,5110
782,현대그린푸드,5440
783,현대로템,64350
784,현대미포조선,10620
785,현대백화점,69960
786,현대약품,4310
787,현대종합상사,11760
788,화신,10690
789,휴켐스,69260
790,흥국화재,540
791,CJ프레시웨이,51500
792,EDGC,245620
793,GH신소재,130500
794,GST,83450
795,GS홈쇼핑,28150
796,IBKS제13호스팩,351340
797,ITX엠투엠,99520
798,JW신약,67290
799,KB오토시스,24120
800,KG모빌리언스,46440
801,KH바텍,60720
802,SK5호스팩,337450
803,SK6호스팩,340350
804,THE E&M,89230
805,TJ미디어,32540
806,YW,51390
807,갤럭시아컴즈,94480
808,경남바이오파마,44480
809,경창산업,24910
810,고려시멘트,198440
811,골프존,215000
812,교보8호스팩,307280
813,국순당,43650
814,그리티,204020
815,나노브릭,286750
816,나스미디어,89600
817,네오티스,85910
818,네이처셀,7390
819,녹십자셀,31390
820,뉴인텍,12340
821,뉴프렉스,85670
822,대봉엘에스,78140
823,대유에이피,290120
824,대주산업,3310
825,대한약품,23910
826,동구바이오제약,6620
827,동방선기,99410
828,디에이피,66900
829,디엔에이링크,127120
830,디엔에프,92070
831,디오,39840
832,디지틀조선,33130
833,디케이앤디,263020
834,라이트론,69540
835,루미마이크로,82800
836,룽투코리아,60240
837,링크제니시스,219420
838,마이크로텍,227950
839,매일홀딩스,5990
840,메디톡스,86900
841,메이슨캐피탈,21880
842,메탈라이프,327260
843,모비스,250060
844,모트렉스,118990
845,미래SCI,28040
846,미스터블루,207760
847,바디텍메드,206640
848,바이넥스,53030
849,삼보판지,23600
850,삼본전자,111870
851,삼아제약,9300
852,상지카일룸,42940
853,서암기계공업,100660
854,성창오토텍,80470
855,세보엠이씨,11560
856,세종메디칼,258830
857,세코닉스,53450
858,셀루메드,49180
859,셀바스헬스케어,208370
860,스페코,13810
861,승일,49830
862,심텍,222800
863,싸이토젠,217330
864,쌍용정보통신,10280
865,씨유메디칼,115480
866,씨케이에이치,900120
867,아나패스,123860
868,아바텍,149950
869,아이센스,99190
870,아이씨디,40910
871,아이씨케이,68940
872,아이원스,114810
873,아이즈비전,31310
874,아이티센,124500
875,알리코제약,260660
876,알에프세미,96610
877,알에프텍,61040
878,알테오젠,196170
879,에스아이리소스,65420
880,에스코넥,96630
881,에쎈테크,43340
882,에이루트,96690
883,에이티넘인베스트,21080
884,에코프로비엠,247540
885,엑시콘,92870
886,엔피케이,48830
887,엘앤케이바이오,156100
888,엠게임,58630
889,엠벤처투자,19590
890,엠씨넥스,97520
891,영화테크,265560
892,오공,45060
893,오픈베이스,49480
894,옵티시스,109080
895,와이지-원,19210
896,와이팜,332570
897,우리바이오,82850
898,원익QnC,74600
899,원익큐브,14190
900,원풍물산,8290
901,웨이브일렉트로,95270
902,웰크론,65950
903,위지트,36090
904,유니온커뮤니티,203450
905,유니테크노,241690
906,유비쿼스홀딩스,78070
907,유신,54930
908,유안타제5호스팩,336060
909,유진스팩5호,331380
910,유테크,178780
911,유티아이,179900
912,이스트소프트,47560
913,이엠넷,123570
914,이지바이오,353810
915,이지웰,90850
916,인베니아,79950
917,인텍플러스,64290
918,자비스,254120
919,자이글,234920
920,정상제이엘에스,40420
921,제놀루션,225220
922,제우스,79370
923,제이엠티,94970
924,제이웨이,58420
925,제일제강,23440
926,제주반도체,80220
927,젬백스,82270
928,조아제약,34940
929,주성엔지니어링,36930
930,지엔씨에너지,119850
931,지엔코,65060
932,캐스텍코리아,71850
933,케이비제20호스팩,342550
934,케이피엠테크,42040
935,케이피티유,54410
936,켄코아에어로스페이스,274090
937,코렌,78650
938,코스온,69110
939,코윈테크,282880
940,코프라,126600
941,키네마스터,139670
942,토탈소프트,45340
943,투비소프트,79970
944,트루윈,105550
945,특수건설,26150
946,티앤알바이오팹,246710
947,티에스이,131290
948,파세코,37070
949,파커스,65690
950,판타지오,32800
951,패션플랫폼,225590
952,푸드웰,5670
953,프로스테믹스,203690
954,피델릭스,32580
955,피에스엠씨,24850
956,하나금융15호스팩,341160
957,하이즈항공,221840
958,한국맥널티,222980
959,한국코퍼레이션,50540
960,한양디지텍,78350
961,한일진공,123840
962,한일화학,7770
963,해덕파워웨이,102210
964,화성밸브,39610
965,휴맥스,115160
966,APS홀딩스,54620
967,CJ ENM,35760
968,CMG제약,58820
969,CS,65770
970,CSA 코스믹,83660
971,EG,37370
972,HRS,36640
973,MP그룹,65150
974,NICE평가정보,30190
975,PI첨단소재,178920
976,PN풍년,24940
977,SCI평가정보,36120
978,SM C&C,48550
979,감마누,192410
980,강스템바이오텍,217730
981,게임빌,63080
982,경남제약헬스케어,223310
983,광림,14200
984,국영지앤엠,6050
985,나노엔텍,39860
986,나이벡,138610
987,남화토건,91590
988,네오팜,92730
989,넥스턴,89140
990,넵튠,217270
991,노바렉스,194700
992,누리텔레콤,40160
993,뉴파워프라즈마,144960
994,대성파인텍,104040
995,대아티아이,45390
996,대주전자재료,78600
997,대창솔루션,96350
998,덕산네오룩스,213420
999,데브시스터즈,194480
1000,동아엘텍,88130
1001,디알텍,214680
1002,디엠티,134580
1003,딜리,131180
1004,라이브플렉스,50120
1005,럭슬,33600
1006,레드캡투어,38390
1007,레이언스,228850
1008,로보로보,215100
1009,머큐리,100590
1010,메디앙스,14100
1011,메디포럼제약,47920
1012,메타바이오메드,59210
1013,멕아이씨에스,58110
1014,모두투어,80160
1015,무림SP,1810
1016,미래에셋대우스팩3호,328380
1017,미래에셋벤처투자,100790
1018,미코,59090
1019,버킷스튜디오,66410
1020,부스타,8470
1021,비덴트,121800
1022,비즈니스온,138580
1023,비트컴퓨터,32850
1024,사람인에이치알,143240
1025,삼강엠앤티,100090
1026,삼륭물산,14970
1027,삼양옵틱스,225190
1028,삼영이엔씨,65570
1029,삼일,32280
1030,삼일기업공사,2290
1031,삼지전자,37460
1032,삼진,32750
1033,삼화네트웍스,46390
1034,상보,27580
1035,상신이디피,91580
1036,서린바이오,38070
1037,서울바이오시스,92190
1038,서호전기,65710
1039,성우테크론,45300
1040,성우하이텍,15750
1041,세경하이테크,148150
1042,세명전기,17510
1043,셀바스AI,108860
1044,손오공,66910
1045,솔루에타,154040
1046,수성,84180
1047,슈펙스비앤피,58530
1048,슈프리마,236200
1049,신라에스지,25870
1050,신라젠,215600
1051,신영스팩5호,323280
1052,신한제4호스팩,277480
1053,신한제6호스팩,333050
1054,아가방컴퍼니,13990
1055,아모텍,52710
1056,아미코젠,92040
1057,아이에이,38880
1058,아이에이네트웍스,123010
1059,아이오케이,78860
1060,아이톡시,52770
1061,액트로,290740
1062,앱클론,174900
1063,에스에스알,275630
1064,에스제이그룹,306040
1065,에스제이케이,80440
1066,에스티팜,237690
1067,에이앤티앤,50320
1068,에이치엘비,28300
1069,에이프런티어,36180
1070,에이프로,262260
1071,에프알텍,73540
1072,에프에스티,36810
1073,엑스큐어,70300
1074,엔시트론,101400
1075,엔에이치스팩12호,273060
1076,엔에이치스팩14호,319400
1077,엔지켐생명과학,183490
1078,연우,115960
1079,영신금속,7530
1080,예림당,36000
1081,오르비텍,46120
1082,오성첨단소재,52420
1083,오션브릿지,241790
1084,우리손에프앤지,73560
1085,우수AMS,66590
1086,원일특강,12620
1087,위더스제약,330350
1088,윈하이텍,192390
1089,윌링스,313760
1090,유니테스트,86390
1091,유안타제6호스팩,340360
1092,육일씨엔에쓰,191410
1093,이글루시큐리티,67920
1094,이글벳,44960
1095,이녹스,88390
1096,이랜시스,264850
1097,이베스트스팩5호,349720
1098,이에스에이,52190
1099,이엠앤아이,83470
1100,이엠텍,91120
1101,이즈미디어,181340
1102,이지케어텍,99750
1103,인선이엔티,60150
1104,인포마크,175140
1105,인포바인,115310
1106,인포뱅크,39290
1107,잉크테크,49550
1108,전진바이오팜,110020
1109,정다운,208140
1110,제이스텍,90470
1111,제일바이오,52670
1112,젬백스지오,41590
1113,줌인터넷,239340
1114,지니뮤직,43610
1115,지니언스,263860
1116,지란지교시큐리티,208350
1117,지스마트글로벌,114570
1118,참좋은여행,94850
1119,천보,278280
1120,케이비제19호스팩,330990
1121,케이씨피드,25880
1122,케이엔더블유,105330
1123,코너스톤네트웍스,33110
1124,코데즈컴바인,47770
1125,코메론,49430
1126,코미팜,41960
1127,코아시아,45970
1128,코오롱생명과학,102940
1129,코웰패션,33290
1130,코위버,56360
1131,콜마비앤에이치,200130
1132,큐브엔터,182360
1133,크로바하이텍,43590
1134,클리오,237880
1135,키움제5호스팩,311270
1136,테고사이언스,191420
1137,테라사이언스,73640
1138,테스나,131970
1139,티에스아이,277880
1140,파루,43200
1141,파멥신,208340
1142,파수,150900
1143,파워로직스,47310
1144,파인디지털,38950
1145,팬엔터테인먼트,68050
1146,펌텍코리아,251970
1147,풍강,93380
1148,플레이디,237820
1149,피에스텍,2230
1150,하나마이크론,67310
1151,한국경제TV,39340
1152,한국바이오젠,318000
1153,한국비엔씨,256840
1154,한국아트라스비엑스,23890
1155,한국알콜,17890
1156,한국정보인증,53300
1157,한국정보통신,25770
1158,한국팩키지,37230
1159,한글과컴퓨터,30520
1160,한일단조,24740
1161,한컴위드,54920
1162,한탑,2680
1163,해마로푸드서비스,220630
1164,현진소재,53660
1165,휴네시온,290270
1166,휴맥스홀딩스,28080
1167,흥국에프엔비,189980
1168,DB금융스팩7호,322780
1169,IBKS제10호스팩,299170
1170,JTC,950170
1171,KCC건설,21320
1172,KCI,36670
1173,KG ETS,151860
1174,KMH,122450
1175,NEW,160550
1176,SBI핀테크솔루션즈,950110
1177,SGA솔루션즈,184230
1178,SM Life Design,63440
1179,W홀딩컴퍼니,52300
1180,교보9호스팩,331520
1181,나노신소재,121600
1182,나인테크,267320
1183,넥슨지티,41140
1184,노터스,278650
1185,녹원씨엔아이,65560
1186,누리플랜,69140
1187,뉴프라이드,900100
1188,다산네트웍스,39560
1189,다원시스,68240
1190,대원산업,5710
1191,대유,290380
1192,덕신하우징,90410
1193,데일리블록체인,139050
1194,덴티스,261200
1195,동일기연,32960
1196,듀오백,73190
1197,드림씨아이에스,223250
1198,디지아이,43360
1199,디지털대성,68930
1200,디티앤씨,187220
1201,램테크놀러지,171010
1202,레고켐바이오,141080
1203,레드로버,60300
1204,로고스바이오,238120
1205,로보스타,90360
1206,리드코프,12700
